"","word1","word2","freq"
"1255","three","weeks",6
"1256","thursday","night",6
"1257","time","get",6
"1258","time","make",6
"1259","told","reporters",6
"1260","turned","around",6
"1261","two","games",6
"1262","two","sides",6
"1263","two","things",6
"1264","u","i",6
"1265","us","military",6
"1266","want","give",6
"1267","want","share",6
"1268","wants","make",6
"1269","war","ii",6
"1270","way","end",6
"1271","way","go",6
"1272","ways","i",6
"1273","we","hope",6
"1274","we","must",6
"1275","we","used",6
"1276","we’re","going",6
"1277","well","now",6
"1278","what","makes",6
"1279","while","i",6
"1280","why","i",6
"1281","will","ask",6
"1282","will","i",6
"1283","will","made",6
"1284","will","now",6
"1285","will","pay",6
"1286","will","receive",6
"1287","words","i",6
"1288","write","i",6
"1289","yeah","im",6
"1290","yearold","son",6
"1291","york","state",6
"1292","you","must",6
"1293","you","need",6
"1294","you","want",6
"1295","youll","see",6
"1296","young","people",6
"1297","a","good",5
"1298","a","little",5
"1299","a","year",5
"1300","a","yearold",5
"1301","“","the",5
"1302","“i","don’t",5
"1303","“i","think",5
"1304","able","make",5
"1305","according","new",5
"1306","according","report",5
"1307","across","state",5
"1308","african","american",5
"1309","all","day",5
"1310","almost","always",5
"1311","almost","two",5
"1312","also","come",5
"1313","also","i",5
"1314","also","love",5
"1315","also","made",5
"1316","also","took",5
"1317","always","take",5
"1318","amount","money",5
"1319","and","still",5
"1320","and","time",5
"1321","and","way",5
"1322","and","yes",5
"1323","answer","question",5
"1324","answer","questions",5
"1325","anymore","i",5
"1326","anyone","ever",5
"1327","anyone","information",5
"1328","anything","like",5
"1329","area","i",5
"1330","around","corner",5
"1331","as","can",5
"1332","as","far",5
"1333","as","one",5
"1334","back","work",5
"1335","back","yard",5
"1336","baking","sheet",5
"1337","bay","area",5
"1338","beautiful","day",5
"1339","best","part",5
"1340","better","i",5
"1341","better","now",5
"1342","better","without",5
"1343","big","ten",5
"1344","birth","control",5
"1345","bit","i",5
"1346","black","friday",5
"1347","blog","hop",5
"1348","blood","pressure",5
"1349","book","the",5
"1350","books","i",5
"1351","boys","girls",5
"1352","brewing","company",5
"1353","but","can",5
"1354","but","don’t",5
"1355","but","i’m",5
"1356","but","really",5
"1357","can","become",5
"1358","can","call",5
"1359","can","check",5
"1360","can","choose",5
"1361","can","come",5
"1362","can","follow",5
"1363","can","happen",5
"1364","can","imagine",5
"1365","can","made",5
"1366","can","put",5
"1367","can","used",5
"1368","cant","stand",5
"1369","cape","may",5
"1370","case","i",5
"1371","cause","i",5
"1372","championship","game",5
"1373","christie","said",5
"1374","circuit","court",5
"1375","city","hall",5
"1376","city","will",5
"1377","civil","rights",5
"1378","cleveland","ohio",5
"1379","come","home",5
"1380","come","i",5
"1381","come","us",5
"1382","community","center",5
"1383","community","college",5
"1384","company","said",5
"1385","couldnt","find",5
"1386","council","members",5
"1387","couple","hours",5
"1388","couple","times",5
"1389","credit","card",5
"1390","cumberland","county",5
"1391","cut","back",5
"1392","cut","costs",5
